FID,id,codigo,simt,tipo,clasificac,comuna,zona,eje,desde,hacia,sentido,fila_super,fila_infer,grupo_de_p,identifica,nombre_ust,x,y,zona_paga,n__et,corredor,ubica_corr,rts,tipo_rts,rm,estado_rm,estado,existe_se,codigo_ant,fecha_fich,cod_sol_pa,comentario
6909,6074,L-30-33-60-PO,PG997,PS,ACTIVO,SAN BERNARDO,G,AV. LO BLANCO,PASO DRAKE,LAS QUINTAS,P-O,LAS QUINTAS,AV. LO BLANCO,-,-,LAS QUINTAS / AV. LO BLANCO,344962.04,6282745.25,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6910,6075,L-30-33-65-PO,PG998,PS,ACTIVO,SAN BERNARDO,G,AV. LO BLANCO,MAR NEGRO,OCEANO ATLANTICO,P-O,OCANO ATLµNTICO,AV. LO BLANCO,-,-,OCANO ATLµNTICO / AV. LO BLANCO,345281.4,6282672.16,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6911,6076,L-30-33-75-PO,PG999,PS,ACTIVO,SAN BERNARDO,G,AV. LO BLANCO,JUAN X,SAN FRANCISCO,P-O,SAN FRANCISCO,AV. LO BLANCO,-,-,SAN FRANCISCO / AV. LO BLANCO,345635.51,6282597.36,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6912,6077,L-30-34-5-PO,PG1065,PS,ACTIVO,SAN BERNARDO,G,LONCOMILLA,PELEQUEN,AMRICA,P-O,AMRICA,LONCOMILLA,-,-,AMRICA / LONCOMILLA,341940.21,6283377.4,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6913,6078,L-30-35-5-OP,PG928,PS,ACTIVO,SAN BERNARDO,G,LOS CANELOS,VICENTE HUIDOBRO,MIGUEL DE LA BARRA,O-P,M. DE LA BARRA,LOS CANELOS,-,-,M. DE LA BARRA / LOS CANELOS,343038.68,6278941.69,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6914,6079,L-30-35-10-PO,PG986,PS,ACTIVO,SAN BERNARDO,G,LOS CANELOS,VICENTE HUIDOBRO,LOS SUSPIROS,P-O,LOS SUSPIROS,LOS CANELOS,-,-,LOS SUSPIROS / LOS CANELOS,343220.11,6278876.53,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6915,6080,L-30-36-5-SN,,PS,ELIMINADO,SAN BERNARDO,G,CAMINO PADRE HURTADO,,STA TERESA,S-N,SANTA TERESA,CAMINO PADRE HURTADO,-,-,SANTA TERESA / CAMINO PADRE HURTADO,344283.99,6282244.33,0,,,,,,0,,S/I,,,,,ELIMINADO POR PARADERO TRONCAL
6916,6081,L-30-36-10-SN,PG1217,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,BAQUEDANO,CAMINO EL MARISCAL,S-N,CAMINO EL MARISCAL,CAMINO PADRE HURTADO,-,-,CAMINO EL MARISCAL / CAMINO PADRE HURTADO,343905.58,6280361.33,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6917,6082,L-30-36-15-NS,PG1207,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,CAMINO EL MARISCAL,BAQUEDANO,N-S,BAQUEDANO,CAMINO PADRE HURTADO,-,-,BAQUEDANO / CAMINO PADRE HURTADO,343825.36,6280114.88,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6918,6083,L-30-36-20-SN,PG1216,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,,BAQUEDANO,S-N,BAQUEDANO,CAMINO PADRE HURTADO,-,-,BAQUEDANO / CAMINO PADRE HURTADO,343863.59,6280030.77,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,4179,
